Class,Type,Group,Food,Allergy,Impact,Category
Plant origin,Vegetable,Potato,Konjac,Potato Allergy,"Causes skin irritation, digestive issues, breathing difficulties, and anaphylaxis in rare cases.",Moderate
Plant origin,Vegetable,Cruciferous vegetable,Kyona,Cruciferous Allergy,"Causes digestive discomfort, bloating, nausea, and, in some cases, respiratory issues.",Mild
Plant origin,Vegetable,Sugar source,Lactose,Lactose Intolerance,"Leads to bloating, diarrhea, stomach cramps, and gas.",Moderate
Plant origin,Vegetable,Liliaceous vegetable,Leek,Allium Allergy,"May cause digestive distress, bloating, nausea, or respiratory irritation.",Mild
Plant origin,Fruit,Citrus fruit / citric acid,Lemon,Citrus Allergy,"Can cause rashes, digestive upset, mouth irritation, and respiratory issues.",Moderate
Plant origin,Cereal grain and pulse,Pulse,Lentil,Legume Allergy,"Can cause mild digestive issues, swelling, breathing difficulties, or anaphylaxis.",Moderate
Plant origin,Vegetable,Composite vegetable,Lettuce,LTP Allergy,"Lipid Transfer Protein Allergy - Causes swelling, hives, breathing difficulties, and anaphylaxis.",Moderate
Plant origin,Cereal grain and pulse,Pulse,Lima bean,Legume Allergy,"Can cause mild digestive issues, swelling, breathing difficulties, or anaphylaxis.",Moderate
Plant origin,Fruit,Citrus fruit / citric acid,Lime,Citrus Allergy,"Can cause rashes, digestive upset, mouth irritation, and respiratory issues.",Moderate
Plant origin,Fruit,Pome fruit,Loquat,Oral Allergy Syndrome,"Typically mild; causes itching, tingling, or swelling of the mouth, lips, and throat.",Mild
Animal origin,Aquatic animal,Fish,Mackerel,Fish Allergy,"Can cause hives, swelling, nausea, difficulty breathing, and in severe cases, anaphylaxis.",Moderate
Plant origin,Vegetable,Cucurbitaceous vegetable,Makuwauri  melon,Oral Allergy Syndrome,"Typically mild; causes itching, tingling, or swelling of the mouth, lips, and throat.",Mild
Plant origin,Fruit,Tropical fruit,Mango,Oral Allergy Syndrome,"Typically mild; causes itching, tingling, or swelling of the mouth, lips, and throat.",Mild
Plant origin,Vegetable,Cucurbitaceous vegetable,Melons,Oral Allergy Syndrome,"Typically mild; causes itching, tingling, or swelling of the mouth, lips, and throat.",Mild
Animal origin,Dairy,Dairy,Milk,Milk allergy / Lactose intolerance,"Causes bloating, diarrhea, skin reactions, and anaphylaxis in severe cases.",Severe
Mineral waters,Mineral water,Mineral water,Mineral water,Aquagenic Urticaria,Rare condition where contact with water triggers hives and severe itching.,Related to Conditions
Plant origin,Vegetable,Umbelliferous vegetable,Mitsuba,Hypersensitivity,"Leads to skin rashes, nasal congestion, digestive upset, and in some cases, breathing difficulties.",Mild
Plant origin,Fruit,Stone fruit,Mume plum,Stone Fruit Allergy,"May cause itching, swelling, or anaphylaxis in severe cases. Often linked to Oral Allergy Syndrome.",Mild
Plant origin,Oil,Oil,Mustard oil,Mustard Allergy,"Can cause skin irritation, swelling, digestive distress, and anaphylaxis.",Mild
Plant origin,Vegetable,Cruciferous vegetable,Mustard Spinach,Cruciferous Allergy,"Causes digestive discomfort, bloating, nausea, and, in some cases, respiratory issues.",Mild
Plant origin,Fruit,Stone fruit,Nectarine,Stone Fruit Allergy,"May cause itching, swelling, or anaphylaxis in severe cases. Often linked to Oral Allergy Syndrome.",Mild
Plant origin,Vegetable,Liliaceous vegetable,Nira,Allium Allergy,"May cause digestive distress, bloating, nausea, or respiratory irritation.",Mild
Plant origin,Vegetable,Miscellaneous vegetable,Okra,Histamine Allergy,"Triggers headaches, hives, nasal congestion, digestive issues, and, in severe cases, anaphylaxis.",Moderate
Plant origin,Oil,Oil,Olive oil,Olive Allergy,"May lead to skin rashes, nasal congestion, digestive discomfort, or breathing difficulties.",Mild
Plant origin,Vegetable,Liliaceous vegetable,Onion,Allium Allergy,"May cause digestive distress, bloating, nausea, or respiratory irritation.",Mild
Plant origin,Fruit,Citrus fruit / citric acid,Orange,Citrus Allergy,"Can cause rashes, digestive upset, mouth irritation, and respiratory issues.",Moderate
Plant origin,Fruit,Citrus fruit / citric acid,Orange pulp,Citrus Allergy,"Can cause rashes, digestive upset, mouth irritation, and respiratory issues.",Moderate
Plant origin,Fruit,Tropical fruit,Papaya,Oral Allergy Syndrome,"Typically mild; causes itching, tingling, or swelling of the mouth, lips, and throat.",Mild
Plant origin,Vegetable,Umbelliferous vegetable,Parsley,Hypersensitivity,"Leads to skin rashes, nasal congestion, digestive upset, and in some cases, breathing difficulties.",Mild
Plant origin,Vegetable,Umbelliferous vegetable,Parsnip,Hypersensitivity,"Leads to skin rashes, nasal congestion, digestive upset, and in some cases, breathing difficulties.",Mild
Plant origin,Fruit,Tropical fruit,Passion fruit,Oral Allergy Syndrome,"Typically mild; causes itching, tingling, or swelling of the mouth, lips, and throat.",Mild
Plant origin,Fruit,Stone fruit,Peach,Stone Fruit Allergy,"May cause itching, swelling, or anaphylaxis in severe cases. Often linked to Oral Allergy Syndrome.",Mild
Plant origin,Cereal grain and pulse,Pulse,Peanut,Peanut Allergy,"Often severe; may lead to hives, swelling, difficulty breathing, and anaphylaxis.",Severe
Plant origin,Fruit,Pome fruit,Pear,Oral Allergy Syndrome,"Typically mild; causes itching, tingling, or swelling of the mouth, lips, and throat.",Mild
Plant origin,Vegetable,Legumes vegetable,Peas,Legume Allergy,"Can cause mild digestive issues, swelling, breathing difficulties, or anaphylaxis.",Moderate
Plant origin,Cereal grain and pulse,Pulse,Peas,Legume Allergy,"Can cause mild digestive issues, swelling, breathing difficulties, or anaphylaxis.",Moderate
Plant origin,Nut and seed,Oil seed,Pecan,Nut Allergy,"Can cause mild to severe reactions, including hives, swelling, difficulty breathing, and anaphylaxis.",Severe
Plant origin,Cereal grain and pulse,Pulse,Pegia,Legume Allergy,"Can cause mild digestive issues, swelling, breathing difficulties, or anaphylaxis.",Moderate
Plant origin,Spice and herb,Herb,Peppermint,Mint Allergy,"Can trigger rashes, digestive upset, breathing difficulties, or anaphylaxis.",Mild
Animal origin,Aquatic animal,Fish,Percifomes,Fish Allergy,"Can cause hives, swelling, nausea, difficulty breathing, and in severe cases, anaphylaxis.",Moderate
Animal origin,Terrestrial mammal,Offal,Pig,Alpha-gal Syndrome,"Delayed allergic reaction to red meat, causing hives, swelling, and anaphylaxis.",Severe
Plant origin,Fruit,Tropical fruit,Pineapple,Oral Allergy Syndrome,"Typically mild; causes itching, tingling, or swelling of the mouth, lips, and throat.",Mild
Plant origin,Cereal grain and pulse,Cereal grain,Popcorn,Corn Allergy,"Causes digestive upset, hives, nasal congestion, and breathing difficulties.",Moderate
Plant origin,Vegetable,Potato,Potato,Potato Allergy,"Causes skin irritation, digestive issues, breathing difficulties, and anaphylaxis in rare cases.",Moderate
Plant origin,Fruit,Stone fruit,Prune,Stone Fruit Allergy,"May cause itching, swelling, or anaphylaxis in severe cases. Often linked to Oral Allergy Syndrome.",Mild
Plant origin,Vegetable,Cucurbitaceous vegetable,Pumpkin,Oral Allergy Syndrome,"Typically mild; causes itching, tingling, or swelling of the mouth, lips, and throat.",Mild
Plant origin,Vegetable,Cruciferous vegetable,Qing-geng-cai,Cruciferous Allergy,"Causes digestive discomfort, bloating, nausea, and, in some cases, respiratory issues.",Mild
Plant origin,Fruit,Pome fruit,Quince,Oral Allergy Syndrome,"Typically mild; causes itching, tingling, or swelling of the mouth, lips, and throat.",Mild
Plant origin,Vegetable,Cruciferous vegetable,Radish leaf,Cruciferous Vegetable Allergy,"Causes bloating, digestive discomfort, and skin irritation.",Mild
Plant origin,Vegetable,Cruciferous vegetable,Radish root,Hypersensitivity,"Leads to skin rashes, nasal congestion, digestive upset, and in some cases, breathing difficulties.",Mild
Plant origin,Nut and seed,Oil seed,Rapeseed,Seed Allergy,"Can result in skin irritation, difficulty breathing, and anaphylaxis.",Moderate
Plant origin,Fruit,Berry,Raspberry,Salicylate Allergy,"May trigger asthma, hives, nasal congestion, or gastrointestinal discomfort.",Mild
Plant origin,Cereal grain and pulse,Cereal grain,Rice,Rice Allergy,"Leads to skin irritation, digestive issues, and respiratory distress.",Mild
Plant origin,Oil,Oil,Ricebran oil,Seed Allergy,"Can result in skin irritation, difficulty breathing, and anaphylaxis.",Moderate
Animal origin,Bee product,Bee product,Royal Jelly,Honey Allergy,"May cause skin rashes, digestive discomfort, breathing issues, or anaphylaxis.",Mild
Plant origin,Cereal grain and pulse,Cereal grain,Rye,Gluten Allergy,"Leads to bloating, diarrhea, intestinal damage, and long",Moderate
Plant origin,Nut and seed,Oil seed,Safflower seed,Seed Allergy,"Can result in skin irritation, difficulty breathing, and anaphylaxis.",Moderate
Animal origin,Aquatic animal,Fish,Salmon,Fish Allergy,"Can cause hives, swelling, nausea, difficulty breathing, and in severe cases, anaphylaxis.",Moderate
Plant origin,Vegetable,Composite vegetable,Salsify,Insulin Allergy,"Can lead to hives, low blood pressure, respiratory distress, and, in rare cases, anaphylaxis.",Moderate
Plant origin,Spice and herb,Spice,Sansho,Pepper Allergy,"Can cause skin irritation, respiratory symptoms, and digestive upset.",Moderate
Animal origin,Aquatic animal,Fish,Sea Bass,Fish Allergy,"Can cause hives, swelling, nausea, difficulty breathing, and in severe cases, anaphylaxis.",Moderate
Animal origin,Aquatic animal,Fish,Sea Bream,Fish Allergy,"Can cause hives, swelling, nausea, difficulty breathing, and in severe cases, anaphylaxis.",Moderate
Plant origin,Nut and seed,Oil seed,Sesame seed,Seed Allergy,"Can result in skin irritation, difficulty breathing, and anaphylaxis.",Moderate
Plant origin,Vegetable,Liliaceous vegetable,Shallot,Allium Allergy,"May cause digestive distress, bloating, nausea, or respiratory irritation.",Mild
Animal origin,Terrestrial mammal,Offal,Sheep,Alpha-gal Syndrome,"Delayed allergic reaction to red meat, causing hives, swelling, and anaphylaxis.",Severe
Animal origin,Aquatic animal,Shellfish,Shelled mollusc,Fish Allergy,"Can cause hives, swelling, nausea, difficulty breathing, and in severe cases, anaphylaxis.",Moderate
Plant origin,Vegetable,Mushroom,Shiitake  mushroom,Mushroom Allergy,"Can lead to skin rashes, breathing difficulties, nausea, and digestive issues.",Mild
Plant origin,Vegetable,Composite vegetable,Shungiku,Insulin Allergy,"Can lead to hives, low blood pressure, respiratory distress, and, in rare cases, anaphylaxis.",Moderate
Animal origin,Dairy,Dairy,Sour cream,Milk allergy / Lactose intolerance,"Causes bloating, diarrhea, skin reactions, and anaphylaxis in severe cases.",Severe
Plant origin,Cereal grain and pulse,Pulse,Soybean,Soy Allergy,"Triggers hives, digestive discomfort, breathing issues, and anaphylaxis in severe cases.",Moderate
Plant origin,Spice and herb,Herb,Spearmint,Mint Allergy,"Can trigger rashes, digestive upset, breathing difficulties, or anaphylaxis.",Mild
Plant origin,Vegetable,Miscellaneous vegetable,Spinach,Histamine Allergy,"Triggers headaches, hives, nasal congestion, digestive issues, and, in severe cases, anaphylaxis.",Moderate
Plant origin,Vegetable,Cucurbitaceous vegetable,Squash,Oral Allergy Syndrome,"Typically mild; causes itching, tingling, or swelling of the mouth, lips, and throat.",Mild
Plant origin,Fruit,Berry,Strawberry,Salicylate Allergy,"May trigger asthma, hives, nasal congestion, or gastrointestinal discomfort.",Mild
Plant origin,Vegetable,Sugar source,Sugar,Sugar Allergy / Intolerance,"Leads to bloating, diarrhea, skin reactions, and metabolic imbalances.",Moderate
Plant origin,Vegetable,Sugar source,Sugar beet,Sugar Allergy / Intolerance,"Leads to bloating, diarrhea, skin reactions, and metabolic imbalances.",Moderate
Plant origin,Vegetable,Sugar source,Sugarcane,Sugar Allergy / Intolerance,"Leads to bloating, diarrhea, skin reactions, and metabolic imbalances.",Moderate
Plant origin,Cereal grain and pulse,Pulse,Sultani,Legume Allergy,"Can cause mild digestive issues, swelling, breathing difficulties, or anaphylaxis.",Moderate
Plant origin,Cereal grain and pulse,Pulse,Sultapya,Legume Allergy,"Can cause mild digestive issues, swelling, breathing difficulties, or anaphylaxis.",Moderate
Plant origin,Oil,Oil,Sunflower oil,Seed Allergy,"Can result in skin irritation, difficulty breathing, and anaphylaxis.",Moderate
Plant origin,Nut and seed,Oil seed,Sunflower seed,Seed Allergy,"Can result in skin irritation, difficulty breathing, and anaphylaxis.",Moderate
Plant origin,Cereal grain and pulse,Cereal grain,Sweet corn,Corn Allergy,"Causes digestive upset, hives, nasal congestion, and breathing difficulties.",Moderate
Plant origin,Vegetable,Solanceous vegetable,Sweet Pepper,Nightshade Allergy,"May trigger joint pain, digestive distress, skin rashes, and respiratory issues.",Moderate
Plant origin,Vegetable,Potato,Sweet potato,Potato Allergy,"Causes skin irritation, digestive issues, breathing difficulties, and anaphylaxis in rare cases.",Moderate
Plant origin,Vegetable,Potato,Taro,Potato Allergy,"Causes skin irritation, digestive issues, breathing difficulties, and anaphylaxis in rare cases.",Moderate
Plant origin,Tea,Tea,Tea,Tannin Allergy,"May cause headaches, nausea, skin reactions, and breathing difficulties.",Mild
Animal origin,Aquatic animal,Fish,Tetraodontiformes,Fish Allergy,"Can cause hives, swelling, nausea, difficulty breathing, and in severe cases, anaphylaxis.",Moderate
Plant origin,Vegetable,Solanceous vegetable,Tomato,Nightshade Allergy,"May trigger joint pain, digestive distress, skin rashes, and respiratory issues.",Moderate
Animal origin,Aquatic animal,Fish,Trout,Fish Allergy,"Can cause hives, swelling, nausea, difficulty breathing, and in severe cases, anaphylaxis.",Moderate
Animal origin,Aquatic animal,Fish,Tuna,Fish Allergy,"Can cause hives, swelling, nausea, difficulty breathing, and in severe cases, anaphylaxis.",Moderate
Animal origin,Poultry,Offal,Turkey,Poultry Allergy,"Causes digestive discomfort, skin reactions, respiratory symptoms, and in severe cases, anaphylaxis.",Moderate
Plant origin,Vegetable,Cruciferous vegetable,Turnip leaf,Cruciferous Vegetable Allergy,"Causes bloating, digestive discomfort, and skin irritation.",Mild
Plant origin,Vegetable,Cruciferous vegetable,Turnip root,Turnip Allergy,"Can interfere with thyroid function, leading to hormonal imbalances.",Mild
Plant origin,Oil,Oil,Vegetable oil,Seed Allergy,"Can result in skin irritation, difficulty breathing, and anaphylaxis.",Moderate
Plant origin,Nut and seed,Oil seed,Walnut,Nut Allergy,"Can cause mild to severe reactions, including hives, swelling, difficulty breathing, and anaphylaxis.",Severe
Plant origin,Vegetable,Cucurbitaceous vegetable,Water melon,Oral Allergy Syndrome,"Typically mild; causes itching, tingling, or swelling of the mouth, lips, and throat.",Mild
Plant origin,Vegetable,Cruciferous vegetable,Watercress,Cruciferous Vegetable Allergy,"Causes bloating, digestive discomfort, and skin irritation.",Mild
Plant origin,Vegetable,Liliaceous vegetable,Welsh,Allium Allergy,"May cause digestive distress, bloating, nausea, or respiratory irritation.",Mild
Plant origin,Cereal grain and pulse,Cereal grain,Wheat,Gluten Allergy,"Leads to bloating, diarrhea, intestinal damage, and long",Moderate
Animal origin,Dairy,Dairy,Whey,Milk allergy / Lactose intolerance,"Causes bloating, diarrhea, skin reactions, and anaphylaxis in severe cases.",Severe
Plant origin,Cereal grain and pulse,Pulse,White bean,Legume Allergy,"Can cause mild digestive issues, swelling, breathing difficulties, or anaphylaxis.",Moderate
Plant origin,Vegetable,Potato,Yam,Potato Allergy,"Causes skin irritation, digestive issues, breathing difficulties, and anaphylaxis in rare cases.",Moderate
Animal origin,Dairy,Dairy,Yogurt,Milk allergy / Lactose intolerance,"Causes bloating, diarrhea, skin reactions, and anaphylaxis in severe cases.",Severe
Plant origin,Cereal,Grain,Oats,Gluten Allergy,"Leads to bloating, diarrhea, intestinal damage, and long",Moderate
Plant origin,Cereal,Grain,Spelt,Gluten Allergy,"Leads to bloating, diarrhea, intestinal damage, and long",Moderate
Plant origin,Cereal,Grain,Kamut,Gluten Allergy,"Leads to bloating, diarrhea, intestinal damage, and long",Moderate
